ASIN,Parent ASIN,Title,Title Excluding Variant,Relationship,Color,Size
B082XHYXCG,B082XHYXCG,"New Balance Lightweight Touchscreen Warm Running Gloves, Anti Slip Men's and Women's Cool Weather Gloves Black Small","New Balance Lightweight Touchscreen Warm Running Gloves, Anti Slip Men's and Women's Cool Weather Gloves",PARENT,"",""
B07F3ZP9W1,B082XHYXCG,"New Balance Lightweight Touchscreen Warm Running Gloves, Anti Slip Men's and Women's Cool Weather Gloves Cyclone Heather Large","New Balance Lightweight Touchscreen Warm Running Gloves, Anti Slip Men's and Women's Cool Weather Gloves",CHILD,"Cyclone Heather","Large"
B074HCC88R,B082XHYXCG,"New Balance Lightweight Touchscreen Warm Running Gloves, Anti Slip Men's and Women's Cool Weather Gloves Black Large","New Balance Lightweight Touchscreen Warm Running Gloves, Anti Slip Men's and Women's Cool Weather Gloves",CHILD,"Black","Large"
B07F443W45,B082XHYXCG,"New Balance Lightweight Touchscreen Warm Running Gloves, Anti Slip Men's and Women's Cool Weather Gloves Hi-Lite Medium","New Balance Lightweight Touchscreen Warm Running Gloves, Anti Slip Men's and Women's Cool Weather Gloves",CHILD,"Hi-Lite","Medium"
B07F45FP45,B082XHYXCG,"New Balance Lightweight Touchscreen Warm Running Gloves, Anti Slip Men's and Women's Cool Weather Gloves Dragonfly Large","New Balance Lightweight Touchscreen Warm Running Gloves, Anti Slip Men's and Women's Cool Weather Gloves",CHILD,"Dragonfly","Large"
B074HG21LL,B082XHYXCG,"New Balance Lightweight Touchscreen Warm Running Gloves, Anti Slip Men's and Women's Cool Weather Gloves Black Medium","New Balance Lightweight Touchscreen Warm Running Gloves, Anti Slip Men's and Women's Cool Weather Gloves",CHILD,"Black","Medium"
B07F43FTBB,B082XHYXCG,"New Balance Lightweight Touchscreen Warm Running Gloves, Anti Slip Men's and Women's Cool Weather Gloves Dragonfly X-Large","New Balance Lightweight Touchscreen Warm Running Gloves, Anti Slip Men's and Women's Cool Weather Gloves",CHILD,"Dragonfly","X-Large"
B074HD5725,B082XHYXCG,"New Balance Lightweight Touchscreen Warm Running Gloves, Anti Slip Men's and Women's Cool Weather Gloves Black X-Large","New Balance Lightweight Touchscreen Warm Running Gloves, Anti Slip Men's and Women's Cool Weather Gloves",CHILD,"Black","X-Large"
B07F41TWQS,B082XHYXCG,"New Balance Lightweight Touchscreen Warm Running Gloves, Anti Slip Men's and Women's Cool Weather Gloves Cyclone Heather Medium","New Balance Lightweight Touchscreen Warm Running Gloves, Anti Slip Men's and Women's Cool Weather Gloves",CHILD,"Cyclone Heather","Medium"
B07F3YLQMB,B082XHYXCG,"New Balance Lightweight Touchscreen Warm Running Gloves, Anti Slip Men's and Women's Cool Weather Gloves Dragonfly Medium","New Balance Lightweight Touchscreen Warm Running Gloves, Anti Slip Men's and Women's Cool Weather Gloves",CHILD,"Dragonfly","Medium"
B07F485HPR,B082XHYXCG,"New Balance Lightweight Touchscreen Warm Running Gloves, Anti Slip Men's and Women's Cool Weather Gloves Cyclone Heather Small","New Balance Lightweight Touchscreen Warm Running Gloves, Anti Slip Men's and Women's Cool Weather Gloves",CHILD,"Cyclone Heather","Small"
B07F42P3HY,B082XHYXCG,"New Balance Lightweight Touchscreen Warm Running Gloves, Anti Slip Men's and Women's Cool Weather Gloves Hi-Lite Large","New Balance Lightweight Touchscreen Warm Running Gloves, Anti Slip Men's and Women's Cool Weather Gloves",CHILD,"Hi-Lite","Large"
B074HDBCH5,B082XHYXCG,"New Balance Lightweight Touchscreen Warm Running Gloves, Anti Slip Men's and Women's Cool Weather Gloves Black Small","New Balance Lightweight Touchscreen Warm Running Gloves, Anti Slip Men's and Women's Cool Weather Gloves",DEFAULT CHILD,"Black","Small"
B07F3YLQCY,B082XHYXCG,"New Balance Lightweight Touchscreen Warm Running Gloves, Anti Slip Men's and Women's Cool Weather Gloves Cyclone Heather X-Large","New Balance Lightweight Touchscreen Warm Running Gloves, Anti Slip Men's and Women's Cool Weather Gloves",CHILD,"Cyclone Heather","X-Large"
B07F41J5ZG,B082XHYXCG,"New Balance Lightweight Touchscreen Warm Running Gloves, Anti Slip Men's and Women's Cool Weather Gloves Hi-Lite X-Large","New Balance Lightweight Touchscreen Warm Running Gloves, Anti Slip Men's and Women's Cool Weather Gloves",CHILD,"Hi-Lite","X-Large"
B07F44F4S6,B082XHYXCG,"New Balance Lightweight Touchscreen Warm Running Gloves, Anti Slip Men's and Women's Cool Weather Gloves Dragonfly Small","New Balance Lightweight Touchscreen Warm Running Gloves, Anti Slip Men's and Women's Cool Weather Gloves",CHILD,"Dragonfly","Small"
B07F436KF5,B082XHYXCG,"New Balance Lightweight Touchscreen Warm Running Gloves, Anti Slip Men's and Women's Cool Weather Gloves Hi-Lite Small","New Balance Lightweight Touchscreen Warm Running Gloves, Anti Slip Men's and Women's Cool Weather Gloves",CHILD,"Hi-Lite","Small"
